Aidan Carey,,,tval,xdrag,ydrag,ydrag ratio
,,,3.22,1572.615604,289.9962425,1.002796005
,,,3.23,1577.457199,289.1876725,1.002840431
,,,3.24,1582.298535,288.3685813,1.002885215
,,,3.25,1587.139613,287.5389696,1.002930363
,,,3.26,1591.980432,286.6988379,1.002975884
,,,3.27,1596.820992,285.8481867,1.003021787
,,,3.28,1601.661294,284.9870168,1.003068079
,,,3.29,1606.501336,284.1153285,1.00311477
,,,3.3,1611.34112,283.2331226,1.003161868
,,,3.31,1616.180645,282.3403996,1.003209383
,,,3.32,1621.019911,281.4371601,1.003257323
,,,3.33,1625.858918,280.5234046,1.0033057
,,,3.34,1630.697665,279.5991338,1.003354522
,,,3.35,1635.536154,278.6643482,1.003403799
,,,3.36,1640.374383,277.7190484,1.003453542
,,,3.37,1645.212352,276.7632349,1.003503761
,,,3.38,1650.050062,275.7969085,1.003554467
,,,3.39,1654.887513,274.8200695,1.003605671
,,,3.4,1659.724704,273.8327187,1.003657385
,,,3.41,1664.561635,272.8348566,1.003709619
,,,3.42,1669.398306,271.8264838,1.003762387
,,,3.43,1674.234717,270.8076009,1.003815699
,,,3.44,1679.070869,269.7782085,1.003869569
,,,3.45,1683.90676,268.7383071,1.003924009
,,,3.46,1688.742391,267.6878973,1.003979033
,,,3.47,1693.577762,266.6269798,1.004034654
,,,3.48,1698.412873,265.5555551,1.004090885
,,,3.49,1703.247723,264.4736238,1.004147742
,,,3.5,1708.082313,263.3811865,1.004205239
,,,3.51,1712.916642,262.2782438,1.004263391
,,,3.52,1717.75071,261.1647962,1.004322212
,,,3.53,1722.584517,260.0408445,1.00438172
,,,3.54,1727.418064,258.9063891,1.004441931
,,,3.55,1732.251349,257.7614306,1.004502861
,,,3.56,1737.084374,256.6059697,1.004564527
,,,3.57,1741.917137,255.440007,1.004626947
,,,3.58,1746.749639,254.2635429,1.00469014
,,,3.59,1751.581879,253.0765783,1.004754125
,,,3.6,1756.413858,251.8791135,1.00481892
,,,3.61,1761.245576,250.6711493,1.004884546
,,,3.62,1766.077031,249.4526862,1.004951023
,,,3.63,1770.908225,248.2237248,1.005018372
,,,3.64,1775.739157,246.9842658,1.005086616
,,,3.65,1780.569827,245.7343097,1.005155777
,,,3.66,1785.400234,244.4738571,1.005225877
,,,3.67,1790.23038,243.2029087,1.005296941
,,,3.68,1795.060263,241.921465,1.005368994
,,,3.69,1799.889883,240.6295266,1.00544206
,,,3.7,1804.719241,239.3270942,1.005516167
,,,3.71,1809.548336,238.0141683,1.005591341
,,,3.72,1814.377168,236.6907496,1.005667611
,,,3.73,1819.205738,235.3568387,1.005745005
,,,3.74,1824.034044,234.0124361,1.005823553
,,,3.75,1828.862087,232.6575425,1.005903287
,,,3.76,1833.689867,231.2921585,1.005984238
,,,3.77,1838.517383,229.9162847,1.00606644
,,,3.78,1843.344635,228.5299217,1.006149926
,,,3.79,1848.171624,227.1330701,1.006234732
,,,3.8,1852.99835,225.7257306,1.006320896
,,,3.81,1857.824811,224.3079037,1.006408454
,,,3.82,1862.651008,222.8795901,1.006497447
,,,3.83,1867.476941,221.4407904,1.006587914
,,,3.84,1872.30261,219.9915052,1.0066799
,,,3.85,1877.128014,218.5317351,1.006773447
,,,3.86,1881.953154,217.0614807,1.006868601
,,,3.87,1886.778029,215.5807427,1.006965409
,,,3.88,1891.602639,214.0895217,1.00706392
,,,3.89,1896.426984,212.5878182,1.007164187
,,,3.9,1901.251064,211.075633,1.00726626
,,,3.91,1906.074878,209.5529667,1.007370196
,,,3.92,1910.898428,208.0198197,1.007476052
,,,3.93,1915.721712,206.4761929,1.007583888
,,,3.94,1920.54473,204.9220868,1.007693765
,,,3.95,1925.367482,203.3575021,1.007805747
,,,3.96,1930.189968,201.7824393,1.007919904
,,,3.97,1935.012189,200.1968992,1.008036303
,,,3.98,1939.834143,198.6008822,1.008155019
,,,3.99,1944.65583,196.9943892,1.008276128
,,,4,1949.477251,195.3774206,1.008399709
,,,4.01,1954.298406,193.7499771,1.008525845
,,,4.02,1959.119294,192.1120595,1.008654623
,,,4.03,1963.939914,190.4636682,1.008786134
,,,4.04,1968.760268,188.8048039,1.008920471
,,,4.05,1973.580354,187.1354674,1.009057735
,,,4.06,1978.400173,185.4556591,1.009198029
,,,4.07,1983.219724,183.7653798,1.009341461
,,,4.08,1988.039008,182.06463,1.009488146
,,,4.09,1992.858023,180.3534106,1.009638202
,,,4.1,1997.676771,178.6317219,1.009791754
,,,4.11,2002.495251,176.8995648,1.009948935
,,,4.12,2007.313462,175.1569399,1.01010988
,,,4.13,2012.131404,173.4038477,1.010274736
,,,4.14,2016.949078,171.640289,1.010443655
,,,4.15,2021.766483,169.8662644,1.010616796
,,,4.16,2026.58362,168.0817746,1.010794328
,,,4.17,2031.400487,166.2868202,1.010976429
,,,4.18,2036.217084,164.4814018,1.011163286
,,,4.19,2041.033413,162.6655201,1.011355096
,,,4.2,2045.849471,160.8391757,1.011552069
,,,4.21,2050.66526,159.0023694,1.011754424
,,,4.22,2055.480779,157.1551017,1.011962394
,,,4.23,2060.296028,155.2973734,1.012176226
,,,4.24,2065.111006,153.429185,1.01239618
,,,4.25,2069.925714,151.5505373,1.012622534
,,,4.26,2074.740151,149.6614308,1.01285558
,,,4.27,2079.554318,147.7618664,1.01309563
