X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,8.02E-03,1.00E-06
703,1.02E+00,-1.20E-02,,
704,9.60E-01,-3.20E-03,,
705,9.80E-01,7.20E-03,,
706,9.80E-01,-4.00E-03,,
707,9.20E-01,8.00E-03,,
708,9.80E-01,-3.20E-03,,
709,9.20E-01,8.00E-03,,
710,9.60E-01,1.04E-02,,
711,8.80E-01,-6.40E-03,,
712,9.60E-01,-5.60E-03,,
713,8.80E-01,9.60E-03,,
714,9.20E-01,-3.20E-03,,
715,8.60E-01,8.00E-03,,
716,9.20E-01,1.20E-02,,
717,8.60E-01,-8.00E-03,,
718,9.20E-01,8.00E-03,,
719,8.60E-01,-9.60E-03,,
720,8.80E-01,-3.20E-03,,
721,8.20E-01,7.20E-03,,
722,8.80E-01,-1.60E-03,,
723,8.20E-01,7.20E-03,,
724,8.20E-01,7.20E-03,,
725,8.80E-01,-3.20E-03,,
726,8.60E-01,-6.40E-03,,
727,8.00E-01,1.20E-02,,
728,8.60E-01,-3.20E-03,,
729,8.00E-01,7.20E-03,,
730,8.20E-01,-1.60E-03,,
731,7.60E-01,7.20E-03,,
732,8.20E-01,1.04E-02,,
733,7.60E-01,-8.00E-03,,
734,8.20E-01,8.00E-03,,
735,7.60E-01,-9.60E-03,,
736,7.60E-01,-1.60E-03,,
737,8.20E-01,7.20E-03,,
738,8.00E-01,7.20E-03,,
739,7.40E-01,-3.20E-03,,
740,7.40E-01,7.20E-03,,
741,8.00E-01,-3.20E-03,,
742,7.60E-01,-6.40E-03,,
743,7.00E-01,1.04E-02,,
744,7.60E-01,-3.20E-03,,
745,7.00E-01,8.00E-03,,
746,7.60E-01,-1.60E-03,,
747,6.60E-01,7.20E-03,,
748,7.40E-01,1.28E-02,,
749,6.60E-01,-1.04E-02,,
750,7.40E-01,8.00E-03,,
751,6.60E-01,-1.04E-02,,
752,7.00E-01,-4.00E-03,,
753,6.40E-01,9.60E-03,,
754,7.00E-01,-5.60E-03,,
755,6.40E-01,9.60E-03,,
756,7.00E-01,8.00E-03,,
757,6.00E-01,-4.00E-03,,
